tconst,title,original_title,year,genre,duration,country,language,director,writer,description,avg_vote,votes,imageurls
tt0021659,Il grande gioco,The Big Gamble,1931,"Crime, Drama, Romance",65,USA,English,Fred Niblo,"Octavus Roy Cohen, Walter DeLeon","Unable to repay a substantial gambling debt to mob boss North, Alan Beckwith concocts a last-ditch scheme. Allowing North to take out a $100,000 insurance policy on his life, Alan agrees to...",5.7,107,"https://m.media-amazon.com/images/M/MV5BM2Q0ZWQ2N2QtY2RhMy00YzkxLWJlNjgtN2RiM2FlYjFlYTQyXkEyXkFqcGdeQXVyNDY3MzU2MDM@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0021668,Il cammello nero,The Black Camel,1931,"Crime, Mystery, Thriller",71,USA,English,Hamilton MacFadden,"Earl Derr Biggers, Hugh Stanislaus Stange",The unsolved murder of a Hollywood actor several years earlier and an enigmatic psychic are the keys to help Charlie solve the Honolulu stabbing death of a beautiful actress.,6.8,1301,"https://m.media-amazon.com/images/M/MV5BNjdhYjczMTAtOTE4OC00ZTFiLThmZGQtNmViMjQxN2U3NTM0XkEyXkFqcGdeQXVyMzI2MDEwNA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0021695,La trovatella,The Brat,1931,Comedy,60,USA,English,John Ford,"S.N. Behrman, Maude Fulton","A society novelist brings a brash young chorus girl home in order to study her for inspiration for his new novel. His family is distraught, but soon her behavior has forever altered their ...",6.6,100,"https://m.media-amazon.com/images/M/MV5BODZmYTExNGMtYzE2ZC00MzBkLWEzODgtZTU3ZGZhNmUzM2ZjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY268_CR7,0,182,268_AL_.jpg"
tt0021730,Il campione,The Champ,1931,"Drama, Sport",86,USA,English,King Vidor,"Frances Marion, Wanda Tuchock",An alcoholic ex-boxer struggles to provide a good living for his son.,7.3,2741,"https://m.media-amazon.com/images/M/MV5BNzI0ODE3NzI3OV5BMl5BanBnXkFtZTgwMDIzMTkxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0021735,The Cheat,The Cheat,1931,Drama,74,USA,English,"George Abbott, Berthold Viertel","Harry Hervey, Hector Turnbull",Woman in debt makes an impulsive investment which doesn't go her way.,6.4,442,"https://m.media-amazon.com/images/M/MV5BNTQyZTJjNjUtNWY2Zi00ZjRlLTgzMjctMTFhMjUxOGM1M2RjXkEyXkFqcGdeQXVyMjA1NjU0NTc@._V1_UY268_CR20,0,182,268_AL_.jpg"
tt0021756,The Common Law,The Common Law,1931,"Romance, Drama",74,USA,"English, French",Paul L. Stein,"Robert W. Chambers, John Farrow",Young Valerie models for an American painter who tries to make a future in Paris and they fall in love.,6,219,"https://m.media-amazon.com/images/M/MV5BMDEyMTMxOGYtZGNiMC00NTQ2LWE0YWUtOTA2OTI2MDFjMTE3XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0021772,La rumba dell'amore,The Cuban Love Song,1931,"Musical, Romance",86,USA,"English, Spanish",W.S. Van Dyke,"C. Gardner Sullivan, Bess Meredyth",A guilt-ridden U.S. Marine returns to Cuba to try to find his illegitimate child.,5.6,149,"https://m.media-amazon.com/images/M/MV5BNTFjYmVlMWMtM2RlMC00NTE4LWJmODEtN2FiMTI0MGFiZGVmXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0021820,The Drums of Jeopardy,The Drums of Jeopardy,1931,"Crime, Drama, Horror",75,USA,English,George B. Seitz,Harold McGrath,A mad doctor is determined to take revenge on the family he believes is responsible for his daughter's death.,5.7,216,"https://m.media-amazon.com/images/M/MV5BMTMyMDc1ODMzOV5BMl5BanBnXkFtZTcwNjc2NTYyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
tt0021825,The Easiest Way,The Easiest Way,1931,"Drama, Romance",73,USA,English,Jack Conway,"Edith Ellis, Eugene Walter","Growing up in a poor working-class family, Laura decides not to marry the boy-next-door and instead accepts wealthy, older Will Brockton's invitation to move in with him. After falling in ...",6.1,444,"https://m.media-amazon.com/images/M/MV5BMGNkODhjMjEtYjU5Ny00Nzk1LTlhMWMtZjUyNTMzOTdjMTU0XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0021847,The False Madonna,The False Madonna,1931,"Crime, Drama, Romance",70,USA,English,Stuart Walker,"Arthur Kober, Ray Harris","A woman who is a member of a gang of con artists impersonates the mother of a wealthy blind man; she comes to feel a true motherly love for the young man, and refuses to try to cheat him.",6.4,111,"https://m.media-amazon.com/images/M/MV5BNTI0MjM4MDQ0OV5BMl5BanBnXkFtZTgwNzQ2MzU0MjE@._V1_UY268_CR12,0,182,268_AL_.jpg"
tt0021865,The Finger Points,The Finger Points,1931,"Crime, Drama",90,USA,English,John Francis Dillon,"John Monk Saunders, W.R. Burnett",Rookie reporter receives bribes from gangsters to suspend negative press.,5.9,396,"https://m.media-amazon.com/images/M/MV5BMWZhNDFiMzktZjhkMy00MDliLTgzNDQtOTU1NDUyMDRkNDQzXkEyXkFqcGdeQXVyMjA1NjU0NTc@._V1_UY268_CR3,0,182,268_AL_.jpg"
tt0021890,The Front Page,The Front Page,1931,"Comedy, Crime, Drama",101,USA,English,Lewis Milestone,"Ben Hecht, Charles MacArthur",An investigative reporter sees an opportunity for the story of a lifetime when an accused murderer escapes hanging.,6.7,2348,"https://m.media-amazon.com/images/M/MV5BNTQzODg2MDQtMmM5Ni00YjBjLWFlMTAtOGRhZTQwNzJhZTViXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0021895,The Galloping Ghost,The Galloping Ghost,1931,"Action, Adventure, Crime",226,USA,English,B. Reeves Eason,"Helmer Walton Bergman, Ford Beebe","A gambling ring run out of the Mogul Taxi company is intent on fixing college football games. Football star Harold ""Red"" Grange is a target for the gamblers, whose thugs try to eliminate ...",5.5,128,"https://m.media-amazon.com/images/M/MV5BMmJjZTI0YzctZjIwYS00OGFlLWI5NTctZmNjZWM0ZWQ4YTIxXkEyXkFqcGdeQXVyMjIwNjIxNjc@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0021900,Il bel capitano,The Gay Diplomat,1931,Drama,67,USA,English,Richard Boleslawski,"Doris Anderson, Alfred Jackson","Captain Orloff is sent to Bucharest to capture a Mata Hari type of spy, but many different women fit the bill and are attractive enough to make one question one's allegiance.",5.1,129,"https://m.media-amazon.com/images/M/MV5BOTYzMDFmYjMtMjUwZS00YzdlLWE0MjItOTY5YjVmMTMxYTVkXkEyXkFqcGdeQXVyMzExODEzNDA@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0021927,Tante donne e nessuna,The Great Lover,1931,"Drama, Romance",71,USA,"English, Italian, German",Harry Beaumont,"Leo Ditrichstein, Frederic Hatton","Jean Paurel is a womanizing opera star, who agrees to help Diana Page her career in order to take advantage of her. But instead he finds falling in love with her. To complicate matters, ...",5.7,154,"https://m.media-amazon.com/images/M/MV5BYmE0ZDA2ZTMtMzcyZS00MWM3LWFjYTAtMjIwMDM1MTZjZGU4XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_UX182_CR0,0,182,268_AL_.jpg"
